Epoch: 01 | Epoch Time: 0m 2s
	Train Loss: 1.942 | Train Acc: 8.43%
	 Val. Loss: 2.104 |  Val. Acc: 11.11%
Epoch: 02 | Epoch Time: 0m 1s
	Train Loss: 1.854 | Train Acc: 25.30%
	 Val. Loss: 1.930 |  Val. Acc: 22.22%
Epoch: 03 | Epoch Time: 0m 1s
	Train Loss: 1.747 | Train Acc: 30.12%
	 Val. Loss: 2.020 |  Val. Acc: 22.22%
Epoch: 04 | Epoch Time: 0m 1s
	Train Loss: 1.692 | Train Acc: 28.92%
	 Val. Loss: 1.948 |  Val. Acc: 22.22%
Epoch: 05 | Epoch Time: 0m 1s
	Train Loss: 1.584 | Train Acc: 37.35%
	 Val. Loss: 1.901 |  Val. Acc: 22.22%
Epoch: 06 | Epoch Time: 0m 1s
	Train Loss: 1.502 | Train Acc: 59.04%
	 Val. Loss: 1.936 |  Val. Acc: 33.33%
Epoch: 07 | Epoch Time: 0m 1s
	Train Loss: 1.396 | Train Acc: 65.06%
	 Val. Loss: 1.963 |  Val. Acc: 22.22%
Epoch: 08 | Epoch Time: 0m 1s
	Train Loss: 1.315 | Train Acc: 57.83%
	 Val. Loss: 1.887 |  Val. Acc: 44.44%
Epoch: 09 | Epoch Time: 0m 1s
	Train Loss: 1.214 | Train Acc: 67.47%
	 Val. Loss: 1.797 |  Val. Acc: 44.44%
Epoch: 10 | Epoch Time: 0m 1s
	Train Loss: 1.134 | Train Acc: 69.88%
	 Val. Loss: 1.783 |  Val. Acc: 55.56%
Epoch: 11 | Epoch Time: 0m 1s
	Train Loss: 1.046 | Train Acc: 72.29%
	 Val. Loss: 1.834 |  Val. Acc: 55.56%
Epoch: 12 | Epoch Time: 0m 1s
	Train Loss: 0.975 | Train Acc: 73.49%
	 Val. Loss: 1.846 |  Val. Acc: 55.56%
Epoch: 13 | Epoch Time: 0m 1s
	Train Loss: 0.905 | Train Acc: 79.52%
	 Val. Loss: 1.829 |  Val. Acc: 55.56%
Epoch: 14 | Epoch Time: 0m 1s
	Train Loss: 0.834 | Train Acc: 79.52%
	 Val. Loss: 1.836 |  Val. Acc: 55.56%
Epoch: 15 | Epoch Time: 0m 1s
	Train Loss: 0.766 | Train Acc: 77.11%
	 Val. Loss: 1.875 |  Val. Acc: 55.56%
Epoch: 16 | Epoch Time: 0m 1s
	Train Loss: 0.707 | Train Acc: 79.52%
	 Val. Loss: 1.902 |  Val. Acc: 55.56%
Epoch: 17 | Epoch Time: 0m 1s
	Train Loss: 0.640 | Train Acc: 80.72%
	 Val. Loss: 1.940 |  Val. Acc: 55.56%
Epoch: 18 | Epoch Time: 0m 1s
	Train Loss: 0.585 | Train Acc: 84.34%
	 Val. Loss: 1.990 |  Val. Acc: 44.44%
Epoch: 19 | Epoch Time: 0m 1s
	Train Loss: 0.529 | Train Acc: 85.54%
	 Val. Loss: 2.029 |  Val. Acc: 44.44%
Epoch: 20 | Epoch Time: 0m 1s
	Train Loss: 0.473 | Train Acc: 89.16%
	 Val. Loss: 2.046 |  Val. Acc: 44.44%
Epoch: 01 | Epoch Time: 0m 1s
	Train Loss: 0.427 | Train Acc: 91.57%
	 Val. Loss: 2.056 |  Val. Acc: 44.44%
Epoch: 02 | Epoch Time: 0m 1s
	Train Loss: 0.380 | Train Acc: 91.57%
	 Val. Loss: 2.107 |  Val. Acc: 44.44%
Epoch: 03 | Epoch Time: 0m 1s
	Train Loss: 0.337 | Train Acc: 93.98%
	 Val. Loss: 2.197 |  Val. Acc: 44.44%
Epoch: 04 | Epoch Time: 0m 1s
	Train Loss: 0.300 | Train Acc: 93.98%
	 Val. Loss: 2.276 |  Val. Acc: 44.44%
Epoch: 05 | Epoch Time: 0m 1s
	Train Loss: 0.266 | Train Acc: 93.98%
	 Val. Loss: 2.312 |  Val. Acc: 33.33%
Epoch: 06 | Epoch Time: 0m 1s
	Train Loss: 0.235 | Train Acc: 98.80%
	 Val. Loss: 2.325 |  Val. Acc: 33.33%
Epoch: 07 | Epoch Time: 0m 1s
	Train Loss: 0.207 | Train Acc: 98.80%
	 Val. Loss: 2.360 |  Val. Acc: 33.33%
Epoch: 08 | Epoch Time: 0m 1s
	Train Loss: 0.184 | Train Acc: 98.80%
	 Val. Loss: 2.436 |  Val. Acc: 33.33%
Epoch: 09 | Epoch Time: 0m 1s
	Train Loss: 0.163 | Train Acc: 98.80%
	 Val. Loss: 2.538 |  Val. Acc: 33.33%
Epoch: 10 | Epoch Time: 0m 1s
	Train Loss: 0.143 | Train Acc: 98.80%
	 Val. Loss: 2.639 |  Val. Acc: 33.33%
Epoch: 01 | Epoch Time: 0m 1s
	Train Loss: 0.127 | Train Acc: 98.80%
	 Val. Loss: 2.728 |  Val. Acc: 33.33%
Epoch: 02 | Epoch Time: 0m 1s
	Train Loss: 0.113 | Train Acc: 98.80%
	 Val. Loss: 2.805 |  Val. Acc: 33.33%
Epoch: 03 | Epoch Time: 0m 1s
	Train Loss: 0.101 | Train Acc: 98.80%
	 Val. Loss: 2.880 |  Val. Acc: 33.33%
Epoch: 04 | Epoch Time: 0m 1s
	Train Loss: 0.090 | Train Acc: 100.00%
	 Val. Loss: 2.960 |  Val. Acc: 33.33%
Epoch: 05 | Epoch Time: 0m 1s
	Train Loss: 0.080 | Train Acc: 100.00%
	 Val. Loss: 3.047 |  Val. Acc: 33.33%
Epoch: 06 | Epoch Time: 0m 1s
	Train Loss: 0.072 | Train Acc: 100.00%
	 Val. Loss: 3.139 |  Val. Acc: 33.33%
Epoch: 07 | Epoch Time: 0m 1s
	Train Loss: 0.065 | Train Acc: 100.00%
	 Val. Loss: 3.239 |  Val. Acc: 22.22%
Epoch: 08 | Epoch Time: 0m 1s
	Train Loss: 0.059 | Train Acc: 100.00%
	 Val. Loss: 3.356 |  Val. Acc: 22.22%
Epoch: 09 | Epoch Time: 0m 1s
	Train Loss: 0.053 | Train Acc: 100.00%
	 Val. Loss: 3.486 |  Val. Acc: 22.22%
Epoch: 10 | Epoch Time: 0m 1s
	Train Loss: 0.048 | Train Acc: 100.00%
	 Val. Loss: 3.619 |  Val. Acc: 22.22%
Epoch: 01 | Epoch Time: 0m 1s
	Train Loss: 0.043 | Train Acc: 100.00%
	 Val. Loss: 3.743 |  Val. Acc: 22.22%
Epoch: 02 | Epoch Time: 0m 1s
	Train Loss: 0.040 | Train Acc: 100.00%
	 Val. Loss: 3.850 |  Val. Acc: 22.22%
Epoch: 03 | Epoch Time: 0m 1s
	Train Loss: 0.036 | Train Acc: 100.00%
	 Val. Loss: 3.943 |  Val. Acc: 22.22%
Epoch: 04 | Epoch Time: 0m 1s
	Train Loss: 0.033 | Train Acc: 100.00%
	 Val. Loss: 4.027 |  Val. Acc: 22.22%
Epoch: 05 | Epoch Time: 0m 1s
	Train Loss: 0.030 | Train Acc: 100.00%
	 Val. Loss: 4.109 |  Val. Acc: 22.22%
Epoch: 06 | Epoch Time: 0m 1s
	Train Loss: 0.028 | Train Acc: 100.00%
	 Val. Loss: 4.191 |  Val. Acc: 22.22%
Epoch: 07 | Epoch Time: 0m 1s
	Train Loss: 0.025 | Train Acc: 100.00%
	 Val. Loss: 4.277 |  Val. Acc: 22.22%
Epoch: 08 | Epoch Time: 0m 1s
	Train Loss: 0.024 | Train Acc: 100.00%
	 Val. Loss: 4.366 |  Val. Acc: 22.22%
Epoch: 09 | Epoch Time: 0m 1s
	Train Loss: 0.022 | Train Acc: 100.00%
	 Val. Loss: 4.455 |  Val. Acc: 22.22%
Epoch: 10 | Epoch Time: 0m 1s
	Train Loss: 0.020 | Train Acc: 100.00%
	 Val. Loss: 4.546 |  Val. Acc: 22.22%
Epoch: 01 | Epoch Time: 0m 1s
	Train Loss: 0.019 | Train Acc: 100.00%
	 Val. Loss: 4.638 |  Val. Acc: 22.22%
Epoch: 02 | Epoch Time: 0m 1s
	Train Loss: 0.017 | Train Acc: 100.00%
	 Val. Loss: 4.731 |  Val. Acc: 22.22%
Epoch: 03 | Epoch Time: 0m 1s
	Train Loss: 0.016 | Train Acc: 100.00%
	 Val. Loss: 4.823 |  Val. Acc: 22.22%
Epoch: 04 | Epoch Time: 0m 1s
	Train Loss: 0.015 | Train Acc: 100.00%
	 Val. Loss: 4.912 |  Val. Acc: 22.22%
Epoch: 05 | Epoch Time: 0m 1s
	Train Loss: 0.014 | Train Acc: 100.00%
	 Val. Loss: 4.995 |  Val. Acc: 22.22%
Epoch: 06 | Epoch Time: 0m 1s
	Train Loss: 0.013 | Train Acc: 100.00%
	 Val. Loss: 5.069 |  Val. Acc: 22.22%
Epoch: 07 | Epoch Time: 0m 1s
	Train Loss: 0.012 | Train Acc: 100.00%
	 Val. Loss: 5.135 |  Val. Acc: 22.22%
Epoch: 08 | Epoch Time: 0m 1s
	Train Loss: 0.012 | Train Acc: 100.00%
	 Val. Loss: 5.195 |  Val. Acc: 22.22%
Epoch: 09 | Epoch Time: 0m 1s
	Train Loss: 0.011 | Train Acc: 100.00%
	 Val. Loss: 5.254 |  Val. Acc: 22.22%
Epoch: 10 | Epoch Time: 0m 1s
	Train Loss: 0.010 | Train Acc: 100.00%
	 Val. Loss: 5.312 |  Val. Acc: 22.22%
Epoch: 01 | Epoch Time: 0m 1s
	Train Loss: 0.010 | Train Acc: 100.00%
	 Val. Loss: 5.370 |  Val. Acc: 22.22%
Epoch: 02 | Epoch Time: 0m 1s
	Train Loss: 0.009 | Train Acc: 100.00%
	 Val. Loss: 5.427 |  Val. Acc: 22.22%
Epoch: 03 | Epoch Time: 0m 1s
	Train Loss: 0.009 | Train Acc: 100.00%
	 Val. Loss: 5.483 |  Val. Acc: 22.22%
Epoch: 04 | Epoch Time: 0m 1s
	Train Loss: 0.008 | Train Acc: 100.00%
	 Val. Loss: 5.536 |  Val. Acc: 22.22%
Epoch: 05 | Epoch Time: 0m 1s
	Train Loss: 0.008 | Train Acc: 100.00%
	 Val. Loss: 5.588 |  Val. Acc: 22.22%
Epoch: 06 | Epoch Time: 0m 1s
	Train Loss: 0.007 | Train Acc: 100.00%
	 Val. Loss: 5.638 |  Val. Acc: 22.22%
Epoch: 07 | Epoch Time: 0m 1s
	Train Loss: 0.007 | Train Acc: 100.00%
	 Val. Loss: 5.688 |  Val. Acc: 22.22%
Epoch: 08 | Epoch Time: 0m 1s
	Train Loss: 0.007 | Train Acc: 100.00%
	 Val. Loss: 5.738 |  Val. Acc: 22.22%
Epoch: 09 | Epoch Time: 0m 1s
	Train Loss: 0.006 | Train Acc: 100.00%
	 Val. Loss: 5.787 |  Val. Acc: 22.22%
Epoch: 10 | Epoch Time: 0m 1s
	Train Loss: 0.006 | Train Acc: 100.00%
	 Val. Loss: 5.835 |  Val. Acc: 22.22%
Epoch: 01 | Epoch Time: 0m 1s
	Train Loss: 0.006 | Train Acc: 100.00%
	 Val. Loss: 5.881 |  Val. Acc: 22.22%
Epoch: 02 | Epoch Time: 0m 1s
	Train Loss: 0.005 | Train Acc: 100.00%
	 Val. Loss: 5.922 |  Val. Acc: 22.22%
Epoch: 03 | Epoch Time: 0m 1s
	Train Loss: 0.005 | Train Acc: 100.00%
	 Val. Loss: 5.961 |  Val. Acc: 22.22%
Epoch: 04 | Epoch Time: 0m 1s
	Train Loss: 0.005 | Train Acc: 100.00%
	 Val. Loss: 5.996 |  Val. Acc: 22.22%
Epoch: 05 | Epoch Time: 0m 1s
	Train Loss: 0.005 | Train Acc: 100.00%
	 Val. Loss: 6.029 |  Val. Acc: 22.22%
Epoch: 06 | Epoch Time: 0m 1s
	Train Loss: 0.005 | Train Acc: 100.00%
	 Val. Loss: 6.062 |  Val. Acc: 22.22%
Epoch: 07 | Epoch Time: 0m 1s
	Train Loss: 0.004 | Train Acc: 100.00%
	 Val. Loss: 6.094 |  Val. Acc: 22.22%
Epoch: 08 | Epoch Time: 0m 1s
	Train Loss: 0.004 | Train Acc: 100.00%
	 Val. Loss: 6.126 |  Val. Acc: 22.22%
Epoch: 09 | Epoch Time: 0m 1s
	Train Loss: 0.004 | Train Acc: 100.00%
	 Val. Loss: 6.156 |  Val. Acc: 22.22%
Epoch: 10 | Epoch Time: 0m 1s
	Train Loss: 0.004 | Train Acc: 100.00%
	 Val. Loss: 6.186 |  Val. Acc: 22.22%
Epoch: 01 | Epoch Time: 0m 1s
	Train Loss: 0.004 | Train Acc: 100.00%
	 Val. Loss: 6.214 |  Val. Acc: 22.22%
Epoch: 02 | Epoch Time: 0m 1s
	Train Loss: 0.004 | Train Acc: 100.00%
	 Val. Loss: 6.240 |  Val. Acc: 22.22%
Epoch: 03 | Epoch Time: 0m 1s
	Train Loss: 0.004 | Train Acc: 100.00%
	 Val. Loss: 6.265 |  Val. Acc: 22.22%
Epoch: 04 | Epoch Time: 0m 1s
	Train Loss: 0.003 | Train Acc: 100.00%
	 Val. Loss: 6.289 |  Val. Acc: 22.22%
Epoch: 05 | Epoch Time: 0m 1s
