filename,filepath,classification
jacksonfineart-saul-leiter-untitled-0120513-1970-1990s.jpg,../../Dataset/images/Saul Leiter Painted Nudes/jacksonfineart-saul-leiter-untitled-0120513-1970-1990s.jpg,Saul Leiter Painted Nudes
jacksonfineart-saul-leiter-untitled-0120512-1970s-1990s.jpg,../../Dataset/images/Saul Leiter Painted Nudes/jacksonfineart-saul-leiter-untitled-0120512-1970s-1990s.jpg,Saul Leiter Painted Nudes
jacksonfineart-saul-leiter-ana-june-0134347-1972.jpg,../../Dataset/images/Saul Leiter Painted Nudes/jacksonfineart-saul-leiter-ana-june-0134347-1972.jpg,Saul Leiter Painted Nudes
jacksonfineart-saul-leiter-untitled-0030567-1995.jpg,../../Dataset/images/Saul Leiter Painted Nudes/jacksonfineart-saul-leiter-untitled-0030567-1995.jpg,Saul Leiter Painted Nudes
jacksonfineart-saul-leiter-untitled-0120752-1970s-1990s.jpg,../../Dataset/images/Saul Leiter Painted Nudes/jacksonfineart-saul-leiter-untitled-0120752-1970s-1990s.jpg,Saul Leiter Painted Nudes
jacksonfineart-saul-leiter-untitled-unknown.jpg,../../Dataset/images/Saul Leiter Painted Nudes/jacksonfineart-saul-leiter-untitled-unknown.jpg,Saul Leiter Painted Nudes
jacksonfineart-saul-leiter-nude-0100179-1987.jpg,../../Dataset/images/Saul Leiter Painted Nudes/jacksonfineart-saul-leiter-nude-0100179-1987.jpg,Saul Leiter Painted Nudes
jacksonfineart-saul-leiter-untitled-0134351-1970s-1990s.jpg,../../Dataset/images/Saul Leiter Painted Nudes/jacksonfineart-saul-leiter-untitled-0134351-1970s-1990s.jpg,Saul Leiter Painted Nudes
jacksonfineart-saul-leiter-untitled-0100162-1975.jpg,../../Dataset/images/Saul Leiter Painted Nudes/jacksonfineart-saul-leiter-untitled-0100162-1975.jpg,Saul Leiter Painted Nudes
jacksonfineart-saul-leiter-untitled-1970s-1990s.jpg,../../Dataset/images/Saul Leiter Painted Nudes/jacksonfineart-saul-leiter-untitled-1970s-1990s.jpg,Saul Leiter Painted Nudes
jacksonfineart-saul-leiter-untitled-0100192-1970s-1990s.jpg,../../Dataset/images/Saul Leiter Painted Nudes/jacksonfineart-saul-leiter-untitled-0100192-1970s-1990s.jpg,Saul Leiter Painted Nudes
jacksonfineart-saul-leiter-untitled-1970s-1990s (1).jpg,../../Dataset/images/Saul Leiter Painted Nudes/jacksonfineart-saul-leiter-untitled-1970s-1990s (1).jpg,Saul Leiter Painted Nudes
jacksonfineart-saul-leiter-john-s-friend-liz-0120523-1972.jpg,../../Dataset/images/Saul Leiter Painted Nudes/jacksonfineart-saul-leiter-john-s-friend-liz-0120523-1972.jpg,Saul Leiter Painted Nudes
jacksonfineart-saul-leiter-untitled-0134340-1970s-1990s.jpg,../../Dataset/images/Saul Leiter Painted Nudes/jacksonfineart-saul-leiter-untitled-0134340-1970s-1990s.jpg,Saul Leiter Painted Nudes
jacksonfineart-andrea-torres-balaguer-dahlia-2019.jpg,../../Dataset/images/Hivernacle/jacksonfineart-andrea-torres-balaguer-dahlia-2019.jpg,Hivernacle
jacksonfineart-andrea-torres-balaguer-clover-2020.jpg,../../Dataset/images/Hivernacle/jacksonfineart-andrea-torres-balaguer-clover-2020.jpg,Hivernacle
jacksonfineart-andrea-torres-balaguer-cala-2020.jpg,../../Dataset/images/Hivernacle/jacksonfineart-andrea-torres-balaguer-cala-2020.jpg,Hivernacle
jacksonfineart-andrea-torres-balaguer-lilac-2020.jpg,../../Dataset/images/Hivernacle/jacksonfineart-andrea-torres-balaguer-lilac-2020.jpg,Hivernacle
jacksonfineart-andrea-torres-balaguer-magnolia-2019.jpg,../../Dataset/images/Hivernacle/jacksonfineart-andrea-torres-balaguer-magnolia-2019.jpg,Hivernacle
The Milkmaid 2.jpg,../../Dataset/images/The Garden/The Milkmaid 2.jpg,The Garden
Untitled-flower.jpg,../../Dataset/images/The Garden/Untitled-flower.jpg,The Garden
Untitled-dress.jpg,../../Dataset/images/The Garden/Untitled-dress.jpg,The Garden
Untitled-carpet.jpg,../../Dataset/images/The Garden/Untitled-carpet.jpg,The Garden
The Red Ball.jpg,../../Dataset/images/The Garden/The Red Ball.jpg,The Garden
Giambattista Valli.jpg,../../Dataset/images/The Garden/Giambattista Valli.jpg,The Garden
Untitled-lake.jpg,../../Dataset/images/The Garden/Untitled-lake.jpg,The Garden
Untitled-meadow.jpg,../../Dataset/images/The Garden/Untitled-meadow.jpg,The Garden
Umbrella.jpg,../../Dataset/images/The Garden/Umbrella.jpg,The Garden
Blue Pool.jpg,../../Dataset/images/The Garden/Blue Pool.jpg,The Garden
Untitled-yellow.jpg,../../Dataset/images/The Garden/Untitled-yellow.jpg,The Garden
Napoleon Vuitton.jpg,../../Dataset/images/The Garden/Napoleon Vuitton.jpg,The Garden
Untitled.jpg,../../Dataset/images/The Garden/Untitled.jpg,The Garden
Brianna sitting in Apple Orchard.jpg,../../Dataset/images/The Garden/Brianna sitting in Apple Orchard.jpg,The Garden
Carolina Herrera Back.jpg,../../Dataset/images/The Garden/Carolina Herrera Back.jpg,The Garden
Untitled-red.jpg,../../Dataset/images/The Garden/Untitled-red.jpg,The Garden
Betty Revisited.jpg,../../Dataset/images/The Garden/Betty Revisited.jpg,The Garden
Turquoise and Pink Garden.jpg,../../Dataset/images/The Garden/Turquoise and Pink Garden.jpg,The Garden
Eniko in Flowers.jpg,../../Dataset/images/The Garden/Eniko in Flowers.jpg,The Garden
Untitled-lady.jpg,../../Dataset/images/The Garden/Untitled-lady.jpg,The Garden
New Rochelle.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/New Rochelle.jpg,Elliott Erwitt Home Around the World
Valencia.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/Valencia.jpg,Elliott Erwitt Home Around the World
Ballycotton.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/Ballycotton.jpg,Elliott Erwitt Home Around the World
New York City (Fraser & Ali).jpg,../../Dataset/images/Elliott Erwitt Home Around the World/New York City (Fraser & Ali).jpg,Elliott Erwitt Home Around the World
Paris.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/Paris.jpg,Elliott Erwitt Home Around the World
New York City-78.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/New York City-78.jpg,Elliott Erwitt Home Around the World
Bal Negre.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/Bal Negre.jpg,Elliott Erwitt Home Around the World
Alabama Southern Charm.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/Alabama Southern Charm.jpg,Elliott Erwitt Home Around the World
New York City-74.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/New York City-74.jpg,Elliott Erwitt Home Around the World
New York City-56.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/New York City-56.jpg,Elliott Erwitt Home Around the World
New York City-46.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/New York City-46.jpg,Elliott Erwitt Home Around the World
Paris (Man Jumping).jpg,../../Dataset/images/Elliott Erwitt Home Around the World/Paris (Man Jumping).jpg,Elliott Erwitt Home Around the World
New York.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/New York.jpg,Elliott Erwitt Home Around the World
New York City-97.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/New York City-97.jpg,Elliott Erwitt Home Around the World
New York City-69.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/New York City-69.jpg,Elliott Erwitt Home Around the World
New York City-49.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/New York City-49.jpg,Elliott Erwitt Home Around the World
Bratsk.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/Bratsk.jpg,Elliott Erwitt Home Around the World
Managua.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/Managua.jpg,Elliott Erwitt Home Around the World
New York City.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/New York City.jpg,Elliott Erwitt Home Around the World
Wyoming.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/Wyoming.jpg,Elliott Erwitt Home Around the World
Provence.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/Provence.jpg,Elliott Erwitt Home Around the World
Santa Monica.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/Santa Monica.jpg,Elliott Erwitt Home Around the World
Israel.jpg,../../Dataset/images/Elliott Erwitt Home Around the World/Israel.jpg,Elliott Erwitt Home Around the World
